mapping_id,fos_sheet,fos_sector,fos_product_group,fos_product_type,suggested_fca_product_group,suggestion_basis,review_decision,approved_fca_product_group,reviewer,reviewed_at,review_comment
FOS-842852C6CA,Banking and Credit,Banking and Payments,Credit Card Accounts,Credit Cards,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-C790E7181A,Banking and Credit,Banking and Payments,Payment Services,Account Information Services (Open Banking),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-2E3912DADD,Banking and Credit,Banking and Payments,Payment Services,Electronic Money (e-money),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-6DB279AA17,Banking and Credit,Banking and Payments,Payment Services,Money Remittance,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-F0CF504E7D,Banking and Credit,Banking and Payments,Payment Services,Payment Initiation Services (Open Banking),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-5E74424A56,Banking and Credit,Banking and Payments,Payment Services,Payment Instruments,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-75A699BF38,Banking and Credit,Banking and Payments,Payment Services,Payments Charged to Mobile Phone Bill,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-19D7A5270D,Banking and Credit,Banking and Payments,Payment Services,Pre-paid Cards,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-D460C8A59F,Banking and Credit,Banking and Payments,Personal Bank Accounts,Cheques,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-90F7833408,Banking and Credit,Banking and Payments,Personal Bank Accounts,Current Accounts,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-67530A886C,Banking and Credit,Banking and Payments,Personal Bank Accounts,Debit Cards,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-E5F348E912,Banking and Credit,Banking and Payments,Personal Bank Accounts,Direct Debits,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-B2AA206248,Banking and Credit,Banking and Payments,Personal Bank Accounts,Online Banking,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-B31F141BAE,Banking and Credit,Banking and Payments,Personal Bank Accounts,Overdrafts,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-B5E6B88856,Banking and Credit,Banking and Payments,Personal Bank Accounts,Packaged Bank Accounts,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-087F7E96BA,Banking and Credit,Banking and Payments,Personal Bank Accounts,Standing Orders,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-F4F4A5E5C2,Banking and Credit,Banking and Payments,Savings,Cash ISAs (including cash lifetime ISAs and help to buy ISAs),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-829E0E14A5,Banking and Credit,Banking and Payments,Savings,Deposits and Savings Accounts (excluding Cash ISAs),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-1CCA468520,Banking and Credit,Banking and Payments,Savings,Premium Bonds,investments,investment_keyword,pending_review,,,,
FOS-E4629651E1,Banking and Credit,Banking and Payments,Savings,Savings Certificates or Bonds,investments,investment_keyword,pending_review,,,,
FOS-96F0024B38,Banking and Credit,Consumer Credit,Credit Services,Credit Broking,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-D730192177,Banking and Credit,Consumer Credit,Credit Services,Credit Records,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-EE0B72D92B,Banking and Credit,Consumer Credit,Debt Services,Debt Adjusting,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-A08F01A966,Banking and Credit,Consumer Credit,Debt Services,Debt Collection,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-055DFA7929,Banking and Credit,Consumer Credit,Debt Services,Debt Counselling (inc. Debt Management Plans),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-683E1E3760,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Catalogue Shopping,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-EC508F9B6F,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Conditional Sale (Motor),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-21E39C9C66,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Conditional Sale (Non-motor),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-72B6FA87C1,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Hire Purchase (Motor),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-024F063D7E,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Hire Purchase (Non-motor),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-F503860DAB,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,"Hire Purchase (Non-motor, non-rent to own)",consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-AEA5D7BCC0,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Hire Purchase (Rent to own),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-1C26F784C4,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,"Hiring, Leasing or Renting (Motor)",consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-3DF70DA4D3,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,"Hiring, Leasing or Renting (Non-motor)",consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-E9AE530D34,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Point of Sale Loans (Motor),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-A5436DB485,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Point of Sale Loans (Non-motor),consumer_credit,consumer_credit_keyword,pending_review,,,,
