mapping_id,fos_sheet,fos_sector,fos_product_group,fos_product_type,suggested_fca_product_group,suggestion_basis,review_decision,approved_fca_product_group,reviewer,reviewed_at,review_comment
FOS-7E9A83E65C,Pensions,Pensions and Annuities,Private Pensions (not SIPPs),Personal Pensions,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-136BE334F3,Pensions,Pensions and Annuities,Private Pensions (not SIPPs),QROPS (Qualifying Recognised Overseas Pension Scheme),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-B5ADC8FE07,Pensions,Pensions and Annuities,Private Pensions (not SIPPs),SERPS (State Earnings Related Pensions Schemes),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-F602215D5F,Pensions,Pensions and Annuities,Private Pensions (not SIPPs),Section 32 Plans,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-02F1869821,Pensions,Pensions and Annuities,Self-Invested Personal Pensions (SIPPs),,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-5C15A63997,Pensions,Pensions and Annuities,Self-Invested Personal Pensions (SIPPs),Defined Benefit transfer (To SIPP),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-E536C9B185,Pensions,Pensions and Annuities,Self-Invested Personal Pensions (SIPPs),Discretionary Fund Management (DFM),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-61103CB160,Pensions,Pensions and Annuities,Self-Invested Personal Pensions (SIPPs),Family Pension Trusts,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-56B913F36C,Pensions,Pensions and Annuities,Self-Invested Personal Pensions (SIPPs),Investment Platforms,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-537413088D,Pensions,Pensions and Annuities,Self-Invested Personal Pensions (SIPPs),Standard Investments,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-58B75537CB,Pensions,Pensions and Annuities,Self-Invested Personal Pensions (SIPPs),UCIS and other Non-standard investments,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
